date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2022-04-11,12.5,6.43,7,1.5,,,91,66.8,67.5,44,7.5,0.5,2,-3.6,24,11.33,12.5,1,33,12,101.8,101.35,101.4,101,99.67,99.24,99.28,98.9,24100,24100,24100,24100,3.4,2.9,3,2.5,11,0,2,0,0,0,0,0,,06:42:00,19:55:00,13.22,6.7,19.92,5,7,10,10,4,6,,,,,,8,5.5,4.5,1,,,,
2022-04-10,9.4,4.1,5,0.6,,,78,60.5,61,44,-2.1,-3.1,-3.2,-4.4,31,19.67,16,1,43,32,101.72,101.31,101.32,100.91,99.59,99.18,99.19,98.8,24100,23300,16900,9700,2.5,2.1,2.2,1.9,13,0,0,0,0,0,0,0,,06:43:00,19:54:00,13.18,6.72,19.9,3,5,9,9,-2,0,,,,,,8,6,4.5,1,,,,
2022-04-09,7.8,3.98,4.45,1.1,,,93,75.9,74.5,56,2.9,-0.1,-0.4,-3.7,32,15.67,17,2,45,29,100.94,100.48,100.57,100.2,98.82,98.37,98.47,98.11,24100,22833.3,20100,16100,3,2.4,2.5,1.9,13.6,0,0,0,0,0.6,0.6,0,,06:45:00,19:53:00,13.13,6.75,19.88,3,3,8,10,-2,0,,,,,,8,6.6,5.5,3,,,,
2022-04-08,9.7,5.98,6.1,2.5,,,100,75.9,76.5,53,7,1.8,3.1,-0.8,30,12.96,16.5,3,50,25,100.31,100.22,100.23,100.15,98.22,98.13,98.14,98.06,24100,24100,24100,24100,3.2,2.7,2.8,2.3,11.9,0,1.1,0,0,1.8,1.8,0,,06:47:00,19:52:00,13.08,6.78,19.87,3,5,10,10,3,3,,,,,,7,5.6,4,1,,,,
2022-04-07,13.8,9,9.4,5,,,100,85.8,79,58,8.7,6.6,6.5,4.4,22,12.12,13,4,39,14,100.36,100.26,100.26,100.15,98.27,98.18,98.17,98.08,24100,21429.2,13650,3200,3.4,2.9,2.9,2.4,8.6,0,4.4,2.4,0,1.6,1.6,0,,06:49:00,19:50:00,13.02,6.82,19.83,5,6,13,13,3,3,,,,,,8,6.4,5.5,3,,,,
2022-04-06,12.1,9.48,9.65,7.2,,,100,66.7,74,48,8.6,3.3,4.2,-0.2,29,18.38,17.5,6,45,11,100.91,100.57,100.53,100.14,98.82,98.48,98.44,98.06,24100,21187.5,14050,4000,3.2,2.9,2.8,2.5,8.3,0,4.7,2.6,0,6.6,6.6,0,,06:50:00,19:49:00,12.98,6.83,19.82,3,5,10,11,7,8,,,,,,8,6.5,5,2,,,,
2022-04-05,13,7.45,8.3,3.6,,,90,63.7,67.5,45,3.8,0.6,1.5,-0.8,18,12.54,12,6,36,9,101.52,101.26,101.25,100.98,99.4,99.14,99.14,98.88,24100,23900,21700,19300,3.1,2.8,2.8,2.4,9.7,0,3.3,1.3,0,1,1,0,,06:52:00,19:48:00,12.93,6.87,19.8,4,5,8,9,5,6,,,,,,8,6.2,4.5,1,,,,
2022-04-04,8.6,3.26,3.15,-2.3,,-6,88,69.9,69,50,-0.1,-2,-2,-3.9,18,10.21,10.5,3,,,101.87,101.69,101.68,101.49,99.73,99.56,99.55,99.36,24100,23766.7,20100,16100,3.7,3.1,3.2,2.8,14.8,0,0,0,0,0,0,0,,06:54:00,19:47:00,12.88,6.9,19.78,4,4,7,7,3,3,,,,,,8,5.4,4,0,,,,
2022-04-03,6.6,2.8,2.8,-1,,,100,71,74.5,49,1,-2.2,-1.4,-3.8,30,17.92,16.5,3,42,33,101.78,101.35,101.42,101.05,99.64,99.22,99.28,98.93,24100,21254.2,13250,2400,2.9,2.8,2.8,2.6,15.2,0,0,0,0,1,0.2,0.8,0,06:56:00,19:46:00,12.83,6.93,19.77,3,3,6,6,-2,-2,,,,,,8,5.5,4,0,,,,
2022-04-02,5.7,1.46,0.95,-3.8,,-7,79,62.8,64,49,-2,-5.1,-4.6,-7.2,26,11.08,15,4,,,102.24,101.85,101.79,101.34,100.08,99.7,99.64,99.21,24100,24100,24100,24100,3.2,2.8,2.8,2.4,17.1,0,0,0,0,0,0,0,,06:58:00,19:44:00,12.77,6.97,19.73,5,5,7,7,1,1,,,,,,8,4.6,4,0,,,,
2022-04-01,3.3,1.47,0.8,-1.7,,-8,96,70.2,74.5,53,-0.1,-3.5,-3.3,-6.5,44,28.08,29.5,15,60,31,101.98,100.8,101,100.02,99.83,98.68,98.89,97.94,24100,21762.5,13650,3200,2.7,2.4,2.5,2.2,17.2,0,0,0,0,1,0.2,1,1,06:59:00,19:43:00,12.73,6.98,19.72,3,3,3,3,-4,-3,,,,,,8,7.4,7,6,,,,
2022-03-31,18.2,9.05,10.3,2.4,,,91,71.2,70,49,10.6,3.9,5.2,-0.2,56,25.29,29,2,85,23,99.98,99.4,99.48,98.97,97.91,97.33,97.42,96.93,24100,24100,24100,24100,3.5,2.7,2.8,2,7.7,0,5.3,3.3,0.3,1,1,0,,07:01:00,19:42:00,12.68,7.02,19.7,2,2,15,15,0,1,,,,,,8,6.7,4.5,1,,,,
2022-03-30,3.6,-0.23,-0.05,-3.7,,-7,90,67.6,66,42,0.2,-5.8,-7.2,-14.5,29,15.29,16.5,4,44,9,102.36,101.39,101.21,100.06,100.19,99.24,99.07,97.95,24100,23166.7,16900,9700,3.2,2.8,2.9,2.6,18.1,0,0,0,0,2.6,2,0.6,0,07:03:00,19:41:00,12.63,7.05,19.68,2,2,4,5,5,6,,,,,,8,6.8,4,0,,,,
2022-03-29,2.4,-3.33,-3.34,-9.1,,-15,80,51.7,54,28,-10.4,-12.9,-14,-17.6,25,13.17,16,7,34,33,102.7,102.5,102.52,102.34,100.51,100.32,100.34,100.17,24100,24100,24100,24100,3.3,2.9,2.9,2.5,21.3,0,0,0,0,0,0,0,0,07:05:00,19:40:00,12.58,7.08,19.67,4,4,3,4,-7,-6,,,,,,2,0.9,1,0,,,,
2022-03-28,-4.8,-7.96,-8.1,-11.4,,-18,79,58.5,62.5,46,-13,-14.9,-15.8,-18.7,41,25.83,25.5,10,57,31,102.41,101.93,101.97,101.53,100.21,99.74,99.78,99.36,24100,21858.3,13250,2400,2.6,2.3,2.2,1.9,26.1,0,0,0,0,0.2,0,0.2,1,07:07:00,19:38:00,12.52,7.12,19.63,3,4,-4,-4,-9,-9,,,,,,7,4,3.5,0,,,,
2022-03-27,-1.7,-4.76,-5.19,-8.7,,-17,92,64.7,70,48,-5.2,-10.6,-10.4,-15.6,48,34.5,35,22,66,31,101.62,101,101.02,100.42,99.45,98.86,98.88,98.31,24100,18725,12450,800,2.4,1.7,1.9,1.4,23.2,0,0,0,0,1.2,0,1.6,1,07:08:00,19:37:00,12.48,7.13,19.62,2,2,-5,-3,-12,-11,,,,,,8,6,4.5,1,,,,
2022-03-26,7,3.08,2.65,-1.7,,-7,98,81.8,80,62,2.7,0.2,-1.2,-5.2,44,20.46,24,4,62,30,100.4,99.83,99.98,99.56,98.29,97.74,97.88,97.47,24100,20433.3,16100,8100,2.7,2.2,2.1,1.6,15.3,0,0,0,0,2,2,0,,07:10:00,19:36:00,12.43,7.17,19.6,3,3,6,6,-5,-3,,,,,,8,7.3,5,2,,,,
